Sección,Subsección,Objetivo,Aplica a Proyecto,Definido por,ID_Pregunta,Pregunta,Descripción/Contexto,Status (Roiback),Respuesta (Roiback),,,,,,,,,,,,,,,,,
Diseño de arquitectura,Fuentes de datos y escalabilidad,Preguntas estratégicas para definir Arquitectura TO-BE,Aplica,Cliente,DA-1.1,¿Cuáles serán las fuentes de datos?,Fuentes de datos.,DONE,Capa raw Roiback,,,,,,,,,,,,,,,,,
,,,,Cliente,DA-1.2,"¿Cuál es el volumen de datos esperado a 1, 3 y 5 años para dimensionar el escalado?",Necesario para definir la capacidad de BigQuery y/o Storage.,IN PROGRESS,TBD DVT,,,,,,,,,,,,,,,,,
,Capa de ingesta,,,Cliente,DA-1.3,Para cada fuente: ¿Cuál es su volumetría (inicial y diaria)?,Completar la tabla de inventario de fuentes y métodos de acceso.,IN PROGRESS,TBD DVT,,,,,,,,,,,,,,,,,
,Capa de procesamiento,,,Cliente,DA-1.4,"¿Estrategia de Procesamiento (batch, streaming, híbrida)? En caso de procesamiento en batch cada especificar ventana de tiempo de disponibilidad del dato (cada 24h/cada 8h, etc.) ¿A qué hora?",Definir si basta con Batch o se requiere Streaming/Micro-batch.,IN PROGRESS,TBD. Actualizaciones diarias actualmente. 8.30 estarían los datos actualizados hasta día de ayer según modificaciones.  La de bookings cada hora. GA4 dos veces al día. SF cada día. Analizar: dashboards actualizados frecuentemente; alarmas (1-2) ,,,,,,,,,,,,,,,,,
,Capa de almacenamiento,,,Cliente,DA-1.5,¿Se prefiere mover datos a Storage para optimizar el almacenamiento en BigQuery y tener la posibilidad de realizar auditorías sobre los datos? ¿Qué política de archivado se debería de aplicar a los datos Raw? (Ej: Mover a Cold tras X meses),Definición de umbrales para optimización de costes.,NOT NECESSARY,No por el momento.,,,,,,,,,,,,,,,,,
,Capa de consumo,,,Cliente,DA-1.6,¿Qué modalidad de consumo se pretende aplicar (BI y reporting/Analítica Avanzada y Data Science/Reenvío de datos procesados a aplicaciones de terceros)?,"BI y Reporting: definir herramienta y estrategia de capa de consumo (ej. asegurar que todos los departamentos reporten misma información)
Analítica Avanzada y Data Science: definir herramienta y estrategia de acceso (ej. conexión a capa Silver y Gold).
Integración de Datos (Reverse ETL/APIs): mecanismo que se aplicará para enviar de nuevo los datos hacia aplicaciones de terceros",IN PROGRESS,"BI y Reporting (Data Studio) y Analítica Avanzada y Data Science (Modelos de clustering, anomalías y agente de IA)",,,,,,,,,,,,,,,,,
,Decisiones de diseño,Decisiones - Análisis interno (DVT),Aplica,DVT,DA-1.7,¿Qué herramientas alternativas se evaluaron para la orquestación y por qué se descartaron?,Justificación para elegir método de orquestación (ej. Composer vs Workflows).,DVT,,,,,,,,,,,,,,,,,,
Diseño técnico detallado,Stack tecnológico,,,,DT-1.1,¿Cuál es la justificación técnica para la elección de cada componente del stack?,Justificación del stack tecnológico.,,,,,,,,,,,,,,,,,,,
,Estrategia de carga,Stack tecnológico ,Aplica,Cliente,DT-1.2,"¿TIpo de carga de los datos (Incremental, basada en fecha de modificación; full refresh, etc.)?",Identificación tipo de carga de datos.,DONE,Incremental salvo tablas maestras,,,,,,,,,,,,,,,,,
,,,,Cliente,DT-1.3,"¿Frecuencia de ejecución de datos (Batch cada 24, Streaming, etc.)? si es en batch, ¿A qué hora?",Frecuencia de ejecución.,IN PROGRESS,TBD,,,,,,,,,,,,,,,,,
