Secci�n,Subsecci�n,Objetivo,Aplica a Proyecto,Definido por,ID_Pregunta,Pregunta,Descripci�n/Contexto,Status (Roiback),Respuesta (Roiback),,,,,,,,,,,,,,,,,,
Seguridad,Organizacin,Estructura y etiquetado,Aplica,Cliente/DVT,S-1.1,"Existe una jerarqua de carpetas en GCP?
En caso contrario, y si es necesario, establecer una nueva jerarqua de carpetas y/o creacin de nuevos proyectos para la implementacin de la solucin.  ",Definir la estructura organizativa de los recursos en GCP para asegurar el aislamiento adecuado y una gestin eficiente de los proyectos.,TO DO (with DVT Recomendation),Lo propone Devoteam
,Gestin de Identidades,Autenticacin y permisos,En duda,Cliente/DVT,S-1.2,"Se utiliza ya algn proveedor de identidad (IdP) para la federacin de usuarios (ej. Azure AD, Okta GWS, G Suite, etc.)? Cul?",Identificar si el acceso se gestionar mediante cuentas corporativas externas para centralizar la autenticacin y el ciclo de vida de los usuarios.,DONE,"Se accede directamente con cuentas de Google. Solo el equipo tcnico de datos (3 personas).",,,,,,,,,,,,,,,,,,
,,,Aplica,DVT,S-1.3,Creacin de matriz de roles y permisos por entorno.,Establecer el modelo de control de acceso basado en roles,DONE,"Se crear como mnimo un grupo para el equipo tcnico con los mismos privilegios para todos.",,,,,,,,,,,,,,,,,,
,Cifrado,Cifrado de claves,En duda,Cliente,S-1.5,Es suficiente el cifrado por defecto (GMEK) o requieren claves gestionadas por el cliente (CMEK) para datos sensibles?,Determinar si las polticas de cumplimiento requieren que el cliente gestione y controle sus propias claves de cifrado para los datos en reposo.,DONE,Es suficiente el cifrado por defecto de Google (GMEK),,,,,,,,,,,,,,,,,,
,Seguridad de Red,Conectividad y reestricciones,En duda,Cliente,S-1.6,Es necesaria una conexin VPN o Interconnect para acceder a fuentes de datos on-premise?,Evala la necesidad de establecer canales de comunicacin privados y seguros entre la infraestructura de Google Cloud y los centros de datos locales.,DONE,"S, es posible que se necesite una VPN en HA para acceder a un Postgress on-premise y a unas APIs.",,,,,,,,,,,,,,,,,,
,Seguridad de Red,,En duda,Cliente,S-1.7,Existen restricciones sobre el uso de IPs pblicas o requisitos de inspeccin de trfico (Firewall/WAF)?,Definir las polticas de exposicin a internet y la necesidad de inspeccin de trfico mediante Firewalls o WAF (Web Application Firewall) para proteger los servicios.,DONE,"Se configurar Firewall a nivel de VPC. WAF no se usar para este proyecto.",,,,,,,,,,,,,,,,,,
,Secretos,Gesti�n de secretos,Aplica,Cliente,S-1.8,"�Qu� herramienta de gesti�n de secretos se prefiere (ej. Google Secret Manager, Hashicorp Vault) y cu�l es su pol�tica de rotaci�n?","Especificar la herramienta y las pol�ticas de rotaci�n para el almacenamiento seguro de credenciales, tokens, etc.",,Secret Manager,,,,,,,,,,,,,,,,,,
,Seguridad Granular,"Row Level Security (RLS) y 
Column Level Secutiry (CLS)",En duda,Cliente,S-1.9,"Se requiere aplicar polticas de seguridad granular para restringir la visibilidad de datos sensibles? a nivel de columna (CLS) o a nivel de fila (RLS):
CLS: columnas que contienen datos sensibles (ej. Nombre, DNI, cuenta bancaria, etc.)
RLS: registros que no deberan de ver todos los usuarios (debera de existir una opcin de filtrado lgico).",Determina si es necesario restringir la visibilidad de datos sensibles a nivel de fila o columna en BigQuery.,TO DO (with DVT Recomendation),"Respondida anteriormente, pero la respuesta no est en esta transcripcin.",,,,,,,,,,,,,,,,,,
,KMS,Rotacin de claves,En duda,Cliente,S-1.10,Para las claves CMEK qu periodo de rotacin exigen sus polticas de seguridad (ej. 90 das)?,Establecer la frecuencia obligatoria (por normativa o poltica interna) para la renovacin de las claves de cifrado gestionadas por el cliente.,DONE,No aplica al usar GMEK. Las polticas son las definidas por Google.,,,,,,,,,,,,,,,,,,
,Acceso de emergencia,Protocolo de acceso de emergencia a produccin,Aplica,Cliente/DVT,S-1.11,Definir protocolo de emergencia si existe un error en produccin.,Definir protocolo de emergencia.,TO DO (with DVT Recomendation),Pendiente de definir ms adelante,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
