Sección,Subsección,Objetivo,Aplica a Proyecto,Definido por,ID_Pregunta,Pregunta,Descripción/Contexto,Status (Cliente),Respuesta (Cliente)
Machine Learning,Objetivos y Casos de Uso,Entender Problemática,Aplica,Cliente,ML-1.1,"¿Qué problemas de negocio específicos se pretenden resolver con ML (e.g. forecasting, anomalías, detección de fraude, etc.)?",Definición del alcance y valor de negocio.,,"Detección de anomalías en las principales métricas de negocio, forecasting de ventas para comparar con objetivos, y clustering de hoteles para realizar análisis comparativos."
,,,Aplica,Cliente,ML-1.2,"¿Cuáles son los KPIs de éxito para los modelos (ej: precisión, recall, impacto en ingresos)?",Medición del retorno de inversión y rendimiento.,,"El éxito se medirá por la capacidad de los modelos para generar predicciones precisas y alertas relevantes sobre los KPIs de negocio (TTV, Roomnights, etc.), minimizando la sobrecarga de alertas no críticas."
,Disponibilidad y Calidad de Datos,Datos y Calidad,Aplica,Cliente,ML-1.3,¿Se dispone de datos históricos etiquetados (ground truth) para el entrenamiento de los modelos?,Esencial para aprendizaje supervisado.,,"Se dispone de datos históricos de negocio. No existen etiquetas explícitas para las anomalías, por lo que el modelo deberá aprender el comportamiento ""normal"" a partir de la serie temporal. Los datos históricos servirán de ground truth para el forecasting."
,,,Aplica,Cliente/DVT,ML-1.4,¿Cuál es el volumen aproximado de datos disponibles para el entrenamiento?,Determinar la viabilidad de algoritmos complejos (Deep Learning vs Clásicos).,,El volumen exacto no se ha especificado. Los datos principales para el proyecto residen en BigQuery.
,,,Aplica,Cliente,ML-1.5,"¿Existen restricciones de privacidad o cumplimiento (ej: PII, GDPR) que afecten al uso de datos para ML?",Garantizar el cumplimiento legal en el entrenamiento.,,"No se ha especificado, pero se debe operar bajo la asunción de que todo el tratamiento de datos debe cumplir con la normativa GDPR, evitando el uso o exposición de información personal identificable (PII)."
,Ingeniería de Características (Features),Features,No Aplica,DVT,ML-1.6,"¿Cómo se gestionan actualmente las variables o ""features"" para los modelos? ¿Es necesario un ""Feature Store""?",Centralización y reutilización de datos para ML.,,
,Desarrollo y Experimentación,Estrategia,Aplica,Cliente/DVT,ML-1.7,"¿Qué frameworks o herramientas prefieren utilizar (ej: TensorFlow, Scikit-learn, PyTorch, BigQuery ML, AutoML)?",Alineación con las capacidades del equipo técnico.,,Se empleará BigQuery ML como framework para el entrenamiento de los modelos de ML.
,Despliegue y Consumo,Capa de Consumo,Aplica,Cliente/DVT,ML-1.8,"¿Cómo se consumirán las predicciones de los modelos (ej: API en tiempo real, procesos batch, dashboards)?",Definición de la arquitectura de inferencia.,,"Principalmente a través de un sistema de alertas (vía Slack), que incluirán gráficos (pdte de ver si es posible) y enlaces al informe en Data Studio. También se desarrollará un asistente conversacional para realizar consultas en lenguaje natural."
,,,Aplica,Cliente/DVT,ML-1.9,¿Cuál es el tiempo de respuesta (latencia) máximo permitido para las predicciones en tiempo real?,Requisitos técnicos de infraestructura (ej: Vertex AI Endpoints).,,"No se ha definido una latencia máxima. Para las alertas, un proceso batch/near real-time es suficiente. El asistente conversacional requerirá una latencia baja para permitir una interacción fluida."
,MLOps y Ciclo de Vida,Decisiones - Análisis interno (DVT),No Aplica,DVT,ML-1.10,Estrategia definida para el versionado de modelos y la trazabilidad de experimentos,Garantizar la reproducibilidad y el gobierno de modelos.,DVT,
