Sección,Subsección,Objetivo,Aplica a Proyecto,Definido por,ID_Pregunta,Pregunta,Descripción/Contexto,Status (Roiback),Respuesta (Roiback),,,,,,,,,,,,,,,,,,
Seguridad,Organización,Estructura y etiquetado,Aplica,Cliente/DVT,S-1.1,"¿Existe una jerarquía de carpetas en GCP?
En caso contrario, y si es necesario, establecer una nueva jerarquía de carpetas y/o creación de nuevos proyectos para la implementación de la solución.  ",Definir la estructura organizativa de los recursos en GCP para asegurar el aislamiento adecuado y una gestión eficiente de los proyectos.,TO DO (with DVT Recomendation),DVT,,,,,,,,,,,,,,,,,,
,Gestión de Identidades,Autenticación y permisos,En duda,Cliente/DVT,S-1.2,"¿Se utiliza ya algún proveedor de identidad (IdP) para la federación de usuarios (ej. Azure AD, Okta GWS, G Suite, etc.)? ¿Cuál?",Identificar si el acceso se gestionará mediante cuentas corporativas externas para centralizar la autenticación y el ciclo de vida de los usuarios.,DONE,Acceso a traves de IAM por cuentas,,,,,,,,,,,,,,,,,,
,,,Aplica,DVT,S-1.3,Creación de matriz de roles y permisos por entorno.,Establecer el modelo de control de acceso basado en roles,DVT,,Grupo,,,,,,,,,,,,,,,,,
,Cifrado,Cifrado de claves,En duda,Cliente,S-1.5,¿Es suficiente el cifrado por defecto (GMEK) o requieren claves gestionadas por el cliente (CMEK) para datos sensibles?,Determinar si las políticas de cumplimiento requieren que el cliente gestione y controle sus propias claves de cifrado para los datos en reposo.,DONE,Default. Es suficiente el cifrado por defecto de Google (GMEK),,,,,,,,,,,,,,,,,,
,Seguridad de Red,Conectividad y reestricciones,En duda,Cliente,S-1.6,¿Es necesaria una conexión VPN o Interconnect para acceder a fuentes de datos on-premise?,Evalúa la necesidad de establecer canales de comunicación privados y seguros entre la infraestructura de Google Cloud y los centros de datos locales.,DONE,"BBDD Postgre y API. S, es posible que se necesite una VPN en HA para acceder a un Postgress on-premise y a unas APIs.",VPN HA,,,,,,,,,,,,,,,,,
,Seguridad de Red,,En duda,Cliente,S-1.7,¿Existen restricciones sobre el uso de IPs públicas o requisitos de inspección de tráfico (Firewall/WAF)?,Definir las políticas de exposición a internet y la necesidad de inspección de tráfico mediante Firewalls o WAF (Web Application Firewall) para proteger los servicios.,DONE,Se configurar Firewall a nivel de VPC. WAF no se usar para este proyecto.,,,,,,,,,,,,,,,,,,
,Secretos,Gestión de secretos,Aplica,Cliente,S-1.8,"¿Qué herramienta de gestión de secretos se prefiere (ej. Google Secret Manager, Hashicorp Vault) y cuál es su política de rotación?","Especificar la herramienta y las políticas de rotación para el almacenamiento seguro de credenciales, tokens, etc.",DONE,Secret Manager,,,,,,,,,,,,,,,,,,
,Seguridad Granular,"Row Level Security (RLS) y 
Column Level Secutiry (CLS)",En duda,Cliente,S-1.9,"¿Se requiere aplicar políticas de seguridad granular para restringir la visibilidad de datos sensibles? a nivel de columna (CLS) o a nivel de fila (RLS):
CLS: columnas que contienen datos sensibles (ej. Nombre, DNI, cuenta bancaria, etc.)
RLS: registros que no deberían de ver todos los usuarios (debería de existir una opción de filtrado lógico).",Determina si es necesario restringir la visibilidad de datos sensibles a nivel de fila o columna en BigQuery.,TO DO (with DVT Recomendation),Respondida en sección Gobernanza,,,,,,,,,,,,,,,,,,
,KMS,Rotación de claves,En duda,Cliente,S-1.10,Para las claves CMEK ¿qué periodo de rotación exigen sus políticas de seguridad (ej. 90 días)?,Establecer la frecuencia obligatoria (por normativa o política interna) para la renovación de las claves de cifrado gestionadas por el cliente.,DONE,Definido por Google. No aplica al usar GMEK. Las polticas son las definidas por Google.,,,,,,,,,,,,,,,,,,
,Acceso de emergencia,Protocolo de acceso de emergencia a producción,Aplica,Cliente/DVT,S-1.11,Definir protocolo de emergencia si existe un error en producción.,Definir protocolo de emergencia.,TO DO (with DVT Recomendation),Pendiente de definir mas adelante,,,,,,,,,,,,,,,,,,
