Issue Type,External ID,Summary,Description,Epic Name,Epic Link,Priority,Story Points,Labels,Components,Assignee
Epic,HBE0002-E01,Fundaciones de gobernanza y datos,"Area Governance / Data Eng. Milestone M1-M2. Use cases: all. Entrega las bases de gobernanza y datos (glosario Dataplex, catalogo, Data Quality y linaje) que sustentan toda la plataforma analitica.",Fundaciones de gobernanza y datos,,Alta,,governance data-eng,"Governance,Data-Eng",
Epic,HBE0002-E02,Infraestructura y IaC (Terraform + Atlantis),"Area DevOps / Infra. Milestone M1. Use cases: all. Provisiona la infraestructura GCP y el flujo IaC con Terraform y Atlantis para habilitar entornos prod/dev gobernados.",Infraestructura y IaC (Terraform + Atlantis),,Alta,,devops infra,"DevOps,Infra",
Epic,HBE0002-E03,Capa de transformacion (Dataform + Cloud Workflows),"Area Data Eng. Milestone M2. Use cases: UC-01/02/03/04. Construye la capa medallon Silver/Gold/Platinum en Dataform orquestada con Cloud Workflows y Scheduler.",Capa de transformacion (Dataform + Cloud Workflows),,Alta,,data-eng,Data-Eng,
Epic,HBE0002-E04,Machine Learning y modelos (BigQuery ML),"Area ML/AI / Data Science. Milestone M2-M3. Use cases: UC-01/03/04. Entrena y publica modelos BQML (anomalias, forecasting, clustering) con pipeline de reentrenamiento.",Machine Learning y modelos (BigQuery ML),,Alta,,ml-ai data-science,"ML-AI,Data-Science",
Epic,HBE0002-E05,Sistema de alertas (Slack + Cloud Workflows),"Area Data Eng / Observability. Milestone M3. Use cases: UC-01. Implementa las alertas de anomalias y forecasting en Slack via Cloud Workflows y Cloud Functions.",Sistema de alertas (Slack + Cloud Workflows),,Alta,,data-eng observability,"Data-Eng,Observability",
Epic,HBE0002-E06,"Observabilidad, monitorizacion y FinOps","Area DevOps / FinOps. Milestone M3-M4. Use cases: all. Centraliza logging, dashboards, alertas operativas y control de costes para gobernar la plataforma.","Observabilidad, monitorizacion y FinOps",,Media,,devops finops observability,"DevOps,FinOps,Observability",
Epic,HBE0002-E07,"Seguridad, IAM y cumplimiento","Area Security / Governance. Milestone M1. Use cases: all. Define la matriz IAM TO-BE, service accounts, secretos, red y cumplimiento GDPR de la plataforma.","Seguridad, IAM y cumplimiento",,Alta,,security governance,"Security,Governance",
Epic,HBE0002-E08,Dashboard integral de reunion (UC-02),"Area BI / Data Eng. Milestone M3. Use cases: UC-02. Entrega el dashboard Looker Studio UC-02 con esquema Gold, agregados BI e integracion del resumen de IA.",Dashboard integral de reunion (UC-02),,Alta,,bi data-eng,"BI,Data-Eng",
Epic,HBE0002-E09,Asistente conversacional (UC-05),"Area ML/AI / Data Eng. Milestone M3. Use cases: UC-05. Construye el agente conversacional (Cloud Run + Slack Bot) con RAG sobre BigQuery y validacion ground truth.",Asistente conversacional (UC-05),,Media,,ml-ai data-eng,"ML-AI,Data-Eng",
Epic,HBE0002-E10,"Validacion, testing y UAT","Area QA / Testing. Milestone M4. Use cases: all. Ejecuta el plan de pruebas unitarias, integracion, calidad, rendimiento, seguridad y UAT con DCS.","Validacion, testing y UAT",,Alta,,qa testing,"QA,Testing",
