Sección,Subsección,Objetivo,Aplica a Proyecto,Definido por,ID_Pregunta,Pregunta,Descripción/Contexto,Status (Cliente),Respuesta (Cliente)
Observabilidad,Definición de métricas,Métricas Relevantes,Aplica,Cliente,O-1.1,"¿Existen métricas críticas para negocio (e.g. pico de volumen de registros, tasa de nulos, etc.)?",Definición de KPIs de salud de la plataforma.,DONE,Definido por roiback en tabla de diagnósticos
,,,,,O-1.2,¿Cuáles son los umbrales aceptables antes de disparar una alerta?,Configuración de alertas basadas en SLAs.,DONE,"Si detecta anomalía disparará una alerta. Si hay fallos en código o falla regla de calidad, disparará una alerta"
,Estrategia de monitorización,Monitorización,Aplica,Cliente,O-1.3,"¿Utilizan alguna herramienta centralizada de monitorización que quieran mantener (Google Cloud Monitoring, Datadog, Grafana)?",Visualización del estado del sistema.,DONE,Google Cloud Monitoring
,Estrategia de logging,Logging,Aplica,Cliente,O-1.4,¿Cuál es la política de retención de logs requerida por cumplimiento o auditoría?,Gestión de costes y cumplimiento legal.,NOT NECESSARY,No es necesario por el momento
,,,,,O-1.5,¿Se requiere exportar logs a un almacenamiento externo (Cold Storage) para auditorías?,Seguridad avanzada y auditoría.,NOT NECESSARY,No es necesario por el momento
,Matriz de alertas y respuestas,Alertas,Aplica,Cliente,O-1.6,"¿Quiénes deben recibir las notificaciones de alertas según su severidad (Email, Slack, PagerDuty)?",Definición del protocolo de respuesta a incidentes.,DONE,Slack
,,,,,O-1.7,¿Existe un equipo de guardia o soporte 24/7 para incidentes críticos?,SLA de respuesta a fallos en producción.,DONE,Equipo técnico de Roiback
Estrategia FinOps,Estimación de costes,Establecer expectativas financieras,Aplica,DVT,EF-1.1,¿Cuál es el presupuesto mensual máximo estimado para la plataforma de datos según la arquitectura que se va a implementar?,Establecer expectativas financieras.,DVT,
,,,,,EF-1.2,¿Se requiere implementar un aviso si se alcanza el 100% del presupuesto mensual en un entorno?,Definición de alerta en presupuesto.,,
,,,,,EF-1.3,¿Qué porcentaje de crecimiento anual de datos se espera para ajustar las proyecciones de almacenamiento?,Planificación de capacidad a largo plazo.,,
,Estrategia de precios y ediciones,BigQuery Editions y CUDs,No Aplica,Cliente,EF-1.3,"¿El cliente ha evaluado el uso de BigQuery Editions (Standard, Enterprise, Plus) frente al modelo bajo demanda?",Optimización de costes de computación.,NOT NECESSARY,No es necesario por el momento
,,,,,EF-1.4,¿El cliente está interesado en realizar un compromiso de uso (CUD) para obtener descuentos por reserva de capacidad?,Ahorro mediante compromisos de largo plazo.,NOT NECESSARY,No es necesario por el momento
,Política de presupuestos y gobernanza financiera,Políticas de Presupuestos,Aplica,Cliente,EF-1.5,¿Qué acciones automáticas deben ejecutarse si se alcanza el 100% del presupuesto mensual en un entorno?,Definición de políticas de parada de servicio o notificación.,IN PROGRESS,TBD Roiback
,,,,,EF-1.6,¿Cuál es el protocolo de actuación ante una desviación de costes no planificada?,Gobernanza y escalado de incidencias financieras.,IN PROGRESS,TBD Roiback
,,,,,EF-1.7,"¿Cuáles son las etiquetas (tags/labels) obligatorias para la imputación de costes (centro de coste, proyecto, entorno)?",Facilitar el desglose granular de la factura.,TO DO (with DVT Recomendation),TBD
,Límites de coste por usuario y proyecto,Establecer límites,Aplica,Cliente,EF-1.8,¿Se quiere aplicar límites de bytes procesados por query para evitar queries costosas?¿Cuál sería el límite?,Control preventivo de gastos por usuario.,IN PROGRESS,Se trabaja con queries de TB de datos. Sería conveniente implementar un límite
,,,,,EF-1.9,¿Se quiere aplicar límite diario de gasto permitido por usuario en el entorno de Sandbox/Desarrollo?¿Cuál sería el límite?,Prevención de sobrecostes en experimentación.,IN PROGRESS,TBD
,,,,,EF-1.10,"En caso de querer aplicar límites de gastos, ¿Qué cuentas de servicio (Service Accounts) deben estar exentas de límites para no bloquear procesos críticos?",Asegurar la continuidad de pipelines productivos.,TO DO (with DVT Recomendation),Dataform
,Cuotas técnicas del proveedor,Cuotas técnicas,Aplica,Cliente/DVT,EF-1.11,¿Se ha realizado una estimación del pico de consultas concurrentes para solicitar aumento de cuota de API si fuera necesario?,Evitar cuellos de botella técnicos por límites del proveedor.,NOT NECESSARY,No se utilizarán APIs
,,,,,EF-1.12,¿Qué regiones de GCP se utilizarán y se ha verificado la disponibilidad de cuota en cada una?,Garantizar el despliegue de infraestructura en las regiones elegidas.,DONE,EU y europe-west1
